NEW YORK CITY DEPARTMENT OF FINANCE,,,,,,
"Sales of 1, 2, and 3 Family Homes in Brooklyn in 2013",,,,,,
,,,,,,
NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
SPRING CREEK             ,02 TWO FAMILY HOMES     ,1,"$419,656 ","$419,656 ","$419,656 ","$419,656 "
SUNSET PARK              ,01 ONE FAMILY HOMES     ,12,"$470,000 ","$718,583 ","$744,000 ","$900,000 "
SUNSET PARK              ,02 TWO FAMILY HOMES     ,129,"$230,000 ","$799,105 ","$800,000 ","$1,738,000 "
SUNSET PARK              ,03 THREE FAMILY HOMES   ,42,"$238,000 ","$885,078 ","$885,000 ","$1,840,000 "
WILLIAMSBURG-CENTRAL     ,01 ONE FAMILY HOMES     ,1,"$700,000 ","$700,000 ","$700,000 ","$700,000 "
WILLIAMSBURG-CENTRAL     ,02 TWO FAMILY HOMES     ,6,"$550,000 ","$746,667 ","$750,000 ","$950,000 "
WILLIAMSBURG-CENTRAL     ,03 THREE FAMILY HOMES   ,8,"$416,666 ","$813,690 ","$903,929 ","$1,110,000 "
WILLIAMSBURG-EAST        ,01 ONE FAMILY HOMES     ,7,"$850,000 ","$1,209,857 ","$1,200,000 ","$1,800,000 "
WILLIAMSBURG-EAST        ,02 TWO FAMILY HOMES     ,37,"$280,000 ","$1,103,426 ","$1,135,500 ","$1,900,000 "
WILLIAMSBURG-EAST        ,03 THREE FAMILY HOMES   ,9,"$290,000 ","$1,224,111 ","$1,332,000 ","$1,700,000 "
WILLIAMSBURG-NORTH       ,01 ONE FAMILY HOMES     ,1,"$1,400,000 ","$1,400,000 ","$1,400,000 ","$1,400,000 "
WILLIAMSBURG-NORTH       ,02 TWO FAMILY HOMES     ,7,"$999,000 ","$1,815,060 ","$1,450,000 ","$3,800,000 "
WILLIAMSBURG-NORTH       ,03 THREE FAMILY HOMES   ,5,"$323,602 ","$1,429,720 ","$1,265,000 ","$3,000,000 "
WILLIAMSBURG-SOUTH       ,02 TWO FAMILY HOMES     ,8,"$497,000 ","$925,813 ","$842,500 ","$1,650,000 "
WILLIAMSBURG-SOUTH       ,03 THREE FAMILY HOMES   ,3,"$450,000 ","$680,000 ","$700,000 ","$890,000 "
WINDSOR TERRACE          ,01 ONE FAMILY HOMES     ,17,"$200,000 ","$972,735 ","$899,000 ","$1,775,000 "
WINDSOR TERRACE          ,02 TWO FAMILY HOMES     ,32,"$200,000 ","$1,005,295 ","$940,500 ","$1,700,000 "
WINDSOR TERRACE          ,03 THREE FAMILY HOMES   ,5,"$687,500 ","$1,492,120 ","$1,675,000 ","$1,780,000 "
WYCKOFF HEIGHTS          ,01 ONE FAMILY HOMES     ,2,"$340,000 ","$372,500 ","$372,500 ","$405,000 "
WYCKOFF HEIGHTS          ,02 TWO FAMILY HOMES     ,18,"$280,000 ","$572,039 ","$592,747 ","$799,000 "
WYCKOFF HEIGHTS          ,03 THREE FAMILY HOMES   ,10,"$300,000 ","$626,000 ","$627,500 ","$880,000 "
